,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,13,8,36,12,15,37,67,3,43,12,40,16.30%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
,EGM,Harper,,,,1,,,,,,,,
,JME,Hinzmann,,,,,,,,,1,,,
,JME,Demiragli,,,,,,,1,,,,1,
,TAU,Steggemann,,,,,,1,,,,,,
,TAU,Manzoni,,,,,1,,,,,,,
,MUO,Folgueras,,,,,,,,,1,,,
,MUO,Kovalskyi,,,,,,,1,,,,,
,GEN,Q.Li,,,,,,,,,,1,,
,GEN,Yazgan,,,,,,,,,,1,,
,BTV,Marchesini,,1,,,,,,,,,,
,BTV,Verzetti,,,,,,1,,,,,,
,TRK,Tosi,,,1,,,,,,,,1,
,TRK,Schulthe,,,,,,,,,1,,,
,LUM,Pastzor,,,,,,,,,1,,1,
,LUM,Lujan,,,,,,,1,,,,,
,Proton,Pereira,,,,,,,,,,1,,
Total 2019,,,0,1,1,1,1,2,4,0,4,3,4,23.50%
2020,EGM,Soffi,,,,,,,1,,,,1,
,EGM,Jain,,,,,,,1,,,,1,
,JME,Hinzmann,,,,,,,,,1,,,
,JME,Thomas,,,,,,,,,1,,,
,TAU,Wolf,,,,,,,1,,,,,
,TAU,Manzoni,,,,,1,,,,,,,
,MUO,Florent,,,,,,,1,,,,1,
,MUO,Taylor,,,,,,,1,,,,,
,GEN,Q.Li,,,,,,,,,,1,,
,GEN,Grohsjeann,,,,,,,,,1,,,
,BTV,Coubez,,,,,,,1,,,,,
,BTV,Verzetti,,,,,,1,,,,,,
,TRK,Tosi,,,1,,,,,,,,1,
,TRK,Schulthe,,,,,,,,,1,,,
,LUM,Pastzor,,,,,,,,,1,,1,
,LUM,Krintiras,,,,,,,1,,,,,
,Proton,Pereira,,,,,,,,,,1,,
,Proton,Shchelina,,,,,,,,,,1,1,
,Pflow,Bendavid,,,,,,1,,,,,,
,Pflow,Hatakeyama,,,,,,,1,,,,,
Total 2020,,,0,0,1,0,1,2,8,0,5,3,6,30.00%
2021,EGM,Soffi,,,,,,,1,,,,1,
,EGM,Finco,,,1,,,,1,,,,1,
,JME,Kirschenmann,,,,,,,,,1,,,
,JME,Thomas,,,,,,,,,1,,,
,TAU,Wolf,,,,,,,1,,,,,
,TAU,Androsov,,,1,,,,,,,,,
,MUO,Florent,,,,,,,1,,,,1,
,MUO,Taylor,,,,,,,1,,,,,
,GEN,Q.Li,,,,,,,,,,1,,
,GEN,Singh Chabal,,,,1,,,,,,,,
,BTV,Coubez,,,,,,,1,,,,,
,BTV,Moortgat,,,,,,,,,1,,,
,TRK,Tosi,,,1,,,,,,,,1,
,TRK,Mariani,,,1,,,,,,,,1,
,LUM,Schwick,,,,,,1,,,,,,
,LUM,Krintiras,,,,,,,1,,,,,
,Proton,Pereira,,,,,,,,,,1,,
,Proton,Shchelina,,,,,,,,,1,,1,
,Pflow,Bendavid,,,,,,1,,,,,,
,Pflow,Hatakeyama,,,,,,,1,,,,,
,ML,Kasieczka,,,,,,,,,1,,,
,ML,Vlimant,,,,,,,1,,,,,
Total 2021,,,0,0,4,1,0,2,7,1,5,2,6,27.30%
2022,EGM,Mukherjee,,1,,,,,,,,,1,
,EGM,Finco,,,1,,,,1,,,,1,
,JME,Kirschenmann,,,,,,,,,1,,,
,JME,McLean,,,,,,,1,,,,1,
,TAU,Le Bihan,1,,,,,,,,,,1,
,TAU,Androsov,,,1,,,,,,,,,
,MUO,Sanchez Cruz,,,,,1,,,,,,,
,MUO,Karathanasis,,,,,,,,,1,,,
,GEN,Bhattacharya,,,,,,,1,,,,1,
,GEN,Singh Chabal,,,,1,,,,,,,,
,BTV,Alison,,,,,,,1,,,,,
,BTV,Mitra,,1,,,,,,,,,,
,TRK,Musich,,,,,,,1,,,,,
