,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Grande Totals:,14,15,32,14,9,45,99,4,37,15,60,21.10%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,HIN,Li,,,,,,,1,,,,,
,HIN,Lee,,,,,,,1,,,,,
,SMP,Theofilatos,,,,,,,,,1,,,
,SMP,Cossutti,,,1,,,,,,,,,
,TOP,Silva,,,,,,1,,,,,,
,TOP,Giammanco,,,1,,,,,,,,,
,BPH,Malvezzi,,,1,,,,,,,,1,
,BPH,Leonardo,,,,,,,,,1,,,
,B2G,Erbacher,,,,,,,1,,,,1,
,B2G,Schmidt,,1,,,,,,,,,,
,HIG,David,,,,,,1,,,,,,
,HIG,Gomez-Ceballos,,,,,,,1,,,,,
,SUS,Campagnari,,,,,,,1,,,,,
,SUS,Moortgat,,,,,,1,,,,,,
,EXO,Valuev,,,,,,,1,,,,,
,EXO,Del Re,,,1,,,,,,,,,
Total 2016,,,0,2,4,0,0,3,6,0,2,1,2,11.10%
2017,FWD,South America,,,,,,,,,,1,,
,FWD,van Haevermaet,,,,,,,,,1,,,
,HIN,Li,,,,,,,1,,,,,
,HIN,Mironov,,,,,,,1,,,,1,
,SMP,Theofilatos,,,,,,,,,1,,,
,SMP,Velasco,,,,,,,1,,,,1,
,TOP,Silva,,,,,,1,,,,,,
,TOP,Gonzalez,,,,,,,,,1,,1,
,BPH,Malvezzi,,,1,,,,,,,,1,
,BPH,Galanti,,,,,,,1,,,,,
,B2G,Erbacher,,,,,,,1,,,,1,
,B2G,Bose,,,,,,,1,,,,1,
,HIG,David,,,,,,1,,,,,,
,HIG,Meridiani,,,1,,,,,,,,,
,SUS,Campagnari,,,,,,,1,,,,,
,SUS,Adam,,,,,,,,,1,,,
,UPSG,Azzi,,,1,,,,,,,,1,
,UPSG,Narain,,,,,,,1,,,,1,
,EXO,Valuev,,,,,,,1,,,,,
,EXO,Buchmuller,,,,1,,,,,,,,
Total 2017,,,0,0,3,1,0,2,9,0,4,1,8,40.00%
2018,FWD,Bansal,,,,,,,,,,1,,
,FWD,van Haevermaet,,,,,,,,,1,,,
,HIN,Verveij,,,,,,1,,,,,1,
,HIN,Mironov,,,,,,,1,,,,1,
,SMP,Bendavid,,,,,,1,,,,,,
,SMP,Velasco,,,,,,,1,,,,1,
,TOP,Gonzalez,,,,,,,1,,,,1,
,TOP,Aldaya,,,,,,,,,1,,1,
,BPH,Margoni,,,1,,,,,,,,,
,BPH,Galanti,,,,,,,1,,,,,
,B2G,Kogler,,,,,,,,,1,,,
,B2G,Iorio,,,1,,,,,,,,,
,HIG,Salerno,1,,,,,,,,,,,
,HIG,Meridiani,,,1,,,,,,,,,
,SUS,Shchutka,,,,,,,1,,,,1,
,SUS,Adam,,,,,,,,,1,,,
,UPSG,Azzi,,,1,,,,,,,,1,
,UPSG,Narain,,,,,,,1,,,,1,
,EXO,Mikulec,,,,,,,,,,1,,
,EXO,Buchmuller,,,,1,,,,,,,,
Total 2018,,,1,0,4,1,0,2,5,0,5,2,8,40.00%
2019,HIN,Verveij,,,,,,1,,,,,1,
,HIN,Chapon,,,,,,1,,,,,,
,SMP,Bendavid,,,,,,1,,,,,,
,SMP,Barberis,,,,,,,1,,,,1,
,SMP,Bansal,,,,,,,,,,1,,
,TOP,Canelli,,,,,1,,,,,,1,
,TOP,Aldaya,,,,,,,,,1,,1,
,BPH,Margoni,,,1,,,,,,,,,
,BPH,Landsberg,,,,,,,1,,,,,
,B2G,Kogler,,,,,,,,,1,,,
,B2G,Iorio,,,1,,,,,,,,,
,HIG,Salerno,1,,,,,,,,,,,
,HIG,Petrucciani,,,,,,1,,,,,,
,SUS,Shchutka,,,,,,,1,,,,1,
,SUS,Sharrma,,,,,,,,,,1,1,
,UPSG,Kieseler,,,,,,1,,,,,,
,UPSG,Savin,,,,,,,1,,,,,
,EXO,Mikulec,,,,,,,,,,1,,
,EXO,Vartak,,,,,,1,,,,,,
Total 2019,,,1,0,2,0,1,6,3,0,3,3,6,31.60%
2020,HIN,Chen,,,,,,,1,,,,,
,HIN,Chapon,,,,,,1,,,,,,
,SMP,Azzurri,,,1,,,,,,,,,
,SMP,Barberis,,,,,,,1,,,,1,
,TOP,Canelli,,,,,1,,,,,,1,
,TOP,Jafari,,,,,,,,,,1,1,
,BPH,Pompili,,,1,,,,,,,,,
,BPH,Landsberg,,,,,,,1,,,,,
,B2G,Maksimovic,,,,,,,1,,,,,
,B2G,Lange,,,,,,1,,,,,,
,HIG,Cepeda,,,,,,,,,1,,1,
,HIG,Petrucciani,,,,,,1,,,,,,
,SUS,Everaerts,,,,1,,,,,,,,
,SUS,Sharrma,,,,,,,,,,1,1,
,UPSG,Kieseler,,,,,,1,,,,,,
,UPSG,Savin,,,,,,,1,,,,,
,EXO,Saoulidou,,,,,,,,,1,,1,
,EXO,Vartak,,,,,,1,,,,,,
Total 2020,,,0,0,2,1,1,5,4,0,3,2,6,33.30%
2021,HIN,Chen,,,,,,,1,,,,,
,HIN,Kim,,,,,,,1,,,,,
,SMP,Azzurri,,,1,,,,,,,,,
,SMP,Gomez-Cebllos,,,,,,,1,,,,,
,TOP,Jung,,,,,,,1,,,,,
,TOP,Jafari,,,,,,,,,,1,1,
,BPH,Pompili,,,1,,,,,,,,,
,BPH,Polikarpov,,,,,,,,1,,,,
,B2G,Maksimovic,,,,,,,1,,,,,
,B2G,Lange,,,,,,1,,,,,,
,HIG,Cepeda,,,,,,,,,1,,1,
,HIG,Wardle,,,,1,,,,,,,,
,SUS,Everaerts,,,,,,,1,,,,,
,SUS,Peruzzi,,,,,,1,,,,,,
,UPSG,Sekmen,,,,,,,,,,1,1,
,UPSG,Savin,,,,,,,1,,,,,
,EXO,Saoulidou,,,,,,,,,1,,1,
,EXO,Lowette,,,,,,,,,1,,,
Total 2021,,,0,0,2,2,0,2,6,1,3,2,4,22.20%
2022,HIN,Stahl Leiton,,,,,,,1,,,,,
,HIN,Kim,,,,,,,1,,,,,
,SMP,Govoni,,,1,,,,,,,,,
,SMP,Gomez-Cebllos,,,,,,,1,,,,,
,TOP,Jung,,,,,,,1,,,,,
,TOP,Chen,,,,,,,,,,1,,
,BPH,Manzoni,,,,,1,,,,,,,
,BPH,Polikarpov,,,,,,,,1,,,,
,B2G,Hinzmann,,1,,,,,,,,,,
,B2G,Pinna,,,,,,,1,,,,1,
,HIG,Steggemann,,,,,1,,,,,,,
,HIG,Wardle,,,,1,,,,,,,,
,SUS,Dutta,,,,,,,1,,,,1,
,SUS,Peruzzi,,,,,,1,,,,,,
,UPSG,Sekmen,,,,,,,,,,1,1,
,UPSG,Savin,,,,,,,1,,,,,
,EXO,Demiragli,,,,,,,1,,,,1,
,EXO,Lowette,,,,,,,,,1,,,
Total 2022,,,0,1,1,1,2,1,8,1,1,2,4,22.20%
